,Falla,Rele,Curva,Distancia,Beta
0,F1,R1,STI,0.1,1.0938016255852419
1,F1,R1,SI,0.1,6.19450691881122
2,F1,R2,STI,0.1,0.6656805933088727
3,F1,R2,SI,0.1,3.796544040960397
4,F1,R3,STI,0.1,0.6656805933088786
5,F1,R3,SI,0.1,3.7965440409604203
6,F1,R1,STI,0.2,1.1244905095932947
7,F1,R1,SI,0.2,6.366385556880201
8,F1,R2,STI,0.2,0.6772454411462095
9,F1,R2,SI,0.2,3.861328072278019
10,F1,R3,STI,0.2,0.6772454411462095
11,F1,R3,SI,0.2,3.861328072278019
12,F1,R1,STI,0.3,1.1559548688350927
13,F1,R1,SI,0.3,6.542606256589882
14,F1,R2,STI,0.3,0.6888555875038697
15,F1,R2,SI,0.3,3.926365175844326
16,F1,R3,STI,0.3,0.6888555875038697
17,F1,R3,SI,0.3,3.926365175844326
18,F1,R1,STI,0.4,1.188237434534998
19,F1,R1,SI,0.4,6.723408345972898
20,F1,R2,STI,0.4,0.7005159307815501
21,F1,R2,SI,0.4,3.9916828158602153
22,F1,R3,STI,0.4,0.7005159307815501
23,F1,R3,SI,0.4,3.9916828158602153
24,F1,R1,STI,0.5,1.2213831637186017
25,F1,R1,SI,0.5,6.909043614892933
26,F1,R2,STI,0.5,0.712231209749385
27,F1,R2,SI,0.5,4.057307559946622
28,F1,R3,STI,0.5,0.712231209749385
29,F1,R3,SI,0.5,4.057307559946622
30,F1,R1,STI,0.6,1.2554394579677726
31,F1,R1,SI,0.6,7.09977754034694
32,F1,R2,STI,0.6,0.7240060240359542
33,F1,R2,SI,0.6,4.12326519415062
34,F1,R3,STI,0.6,0.7240060240359565
35,F1,R3,SI,0.6,4.12326519415062
36,F1,R1,STI,0.7,1.290456398922378
37,F1,R1,SI,0.7,7.295890605514037
38,F1,R2,STI,0.7,0.7358448525523545
39,F1,R2,SI,0.7,4.189580826359952
40,F1,R3,STI,0.7,0.7358448525523545
41,F1,R3,SI,0.7,4.189580826359952
42,F1,R1,STI,0.8,1.3264870030360718
43,F1,R1,SI,0.8,7.497679726598474
44,F1,R2,STI,0.8,0.7477520701270434
45,F1,R2,SI,0.8,4.256278979668465
46,F1,R3,STI,0.8,0.7477520701270458
47,F1,R3,SI,0.8,4.256278979668465
48,F1,R1,STI,0.9,1.3635874983481198
49,F1,R1,SI,0.9,7.705459802937563
50,F1,R2,STI,0.9,0.7597319625872043
51,F1,R2,SI,0.9,4.323383677016957
52,F1,R3,STI,0.9,0.7597319625872043
53,F1,R3,SI,0.9,4.323383677016957
54,F2,R1,STI,0.1,0.8213758312891773
55,F2,R1,SI,0.1,4.668670609934677
56,F2,R2,STI,0.1,0.5512758992915222
57,F2,R2,SI,0.1,3.155625951031849
60,F2,R1,STI,0.2,0.8463040378661778
61,F2,R1,SI,0.2,4.808298163401511
62,F2,R2,STI,0.2,0.5627131051514288
63,F2,R2,SI,0.2,3.2197038930881265
66,F2,R1,STI,0.3,0.8716624565320135
67,F2,R1,SI,0.3,4.950333725847557
68,F2,R2,STI,0.3,0.574131016130923
69,F2,R2,SI,0.3,3.283672605553491
72,F2,R1,STI,0.4,0.8974813946594672
73,F2,R1,SI,0.4,5.0949471072509125
74,F2,R2,STI,0.4,0.5855380280859681
75,F2,R2,SI,0.4,3.3475791938711117
78,F2,R1,STI,0.5,0.9237916692929801
79,F2,R1,SI,0.5,5.2423109622777435
80,F2,R2,STI,0.5,0.5969419515105868
81,F2,R2,SI,0.5,3.411467475988796
84,F2,R1,STI,0.6,0.9506247681820469
85,F2,R1,SI,0.6,5.392601693347134
86,F2,R2,STI,0.6,0.6083500834958727
87,F2,R2,SI,0.6,3.4753783866067667
90,F2,R1,STI,0.7,0.9780130082747414
91,F2,R1,SI,0.7,5.546000339268751
92,F2,R2,STI,0.7,0.6197692703782652
93,F2,R2,SI,0.7,3.5393503290812856
96,F2,R1,STI,0.8,1.0059896935260857
97,F2,R1,SI,0.8,5.702693459876602
98,F2,R2,STI,0.8,0.6312059623900429
99,F2,R2,SI,0.8,3.6034194823737487
102,F2,R1,STI,0.9,1.0345892738577167
103,F2,R1,SI,0.9,5.862874026972193
104,F2,R2,STI,0.9,0.6426662614521844
105,F2,R2,SI,0.9,3.667620069459448
108,F3,R1,STI,0.1,0.589101717768515
109,F3,R1,SI,0.1,3.3675441832798163
114,F3,R1,STI,0.2,0.6114087160703666
115,F3,R1,SI,0.2,3.492513376562083
120,F3,R1,STI,0.3,0.6338318238250004
121,F3,R1,SI,0.3,3.6181296267118497
126,F3,R1,STI,0.4,0.6564059625771601
127,F3,R1,SI,0.4,3.744588848324189
132,F3,R1,STI,0.5,0.6791649467883174
133,F3,R1,SI,0.5,3.872080703616428
138,F3,R1,STI,0.6,0.7021414979164585
139,F3,R1,SI,0.6,4.000788690382538
144,F3,R1,STI,0.7,0.7253673718571273
145,F3,R1,SI,0.7,4.130890863142755
150,F3,R1,STI,0.8,0.7488735375790597
151,F3,R1,SI,0.8,4.2625608395963
156,F3,R1,STI,0.9,0.7726903746901633
157,F3,R1,SI,0.9,4.39596891194396
